iter	RMSE
0	77238.21073
1	75301.39813
2	73384.49452
3	71545.22421
4	69635.14162
5	67835.59654
6	66124.96691
7	64406.40248
8	62912.06986
9	61457.18206
10	60060.57249
11	58623.32068
12	57326.28017
13	56045.53739
14	54811.03093
15	53716.76291
16	52592.62188
17	51423.53102
18	50344.83148
19	49332.09991
20	48349.66542
21	47410.66977
22	46452.97027
23	45600.7189
24	44732.61593
25	43941.27832
26	43118.68348
27	42311.12876
28	41573.02982
29	40893.13913
30	40255.50294
31	39579.03892
32	38901.27672
33	38258.43857
34	37657.12429
35	37059.36126
36	36486.78305
37	35919.94116
38	35322.04141
39	34815.34916
40	34327.37318
41	33907.24688
42	33479.09694
43	32952.57601
44	32537.05296
45	32072.52719
46	31619.84081
47	31202.98937
48	30821.74195
49	30402.8792
50	30029.69057
51	29652.02307
52	29303.8595
53	28954.88432
54	28642.21627
55	28318.73197
56	27976.12587
57	27699.20496
58	27438.74084
59	27158.13458
60	26899.55573
61	26633.65027
62	26394.05013
63	26150.58589
64	25927.98892
65	25698.64864
66	25488.54538
67	25259.03257
68	25020.01867
69	24800.39809
70	24630.97358
71	24442.55775
72	24290.38836
73	24065.57419
74	23898.05465
75	23744.19828
76	23539.4972
77	23366.61059
78	23154.113
79	22985.10118
80	22802.85342
81	22667.449
82	22502.09517
83	22338.16098
84	22192.47709
85	22057.44113
86	21887.46012
87	21769.18396
88	21637.29089
89	21545.51516
90	21404.08885
91	21304.0676
92	21208.3499
93	21098.28301
94	20970.95582
95	20860.43446
96	20752.73975
97	20651.6765
98	20567.12027
99	20484.12138
100	20392.9568
101	20290.44673
102	20194.44425
103	20119.88913
104	20001.59844
105	19938.91958
106	19841.37507
107	19749.07245
108	19668.77512
109	19575.09079
110	19503.74073
111	19441.39346
112	19356.74728
113	19296.39944
114	19208.84296
115	19141.39412
116	19079.97243
117	19017.09105
118	18934.1549
119	18868.26645
120	18789.71318
121	18732.90459
122	18646.78961
123	18591.97292
124	18523.72619
125	18474.17472
126	18421.31935
127	18346.55671
128	18308.48806
129	18259.99045
130	18207.63842
131	18154.34999
132	18109.79065
133	18069.28435
134	18009.09969
135	17947.47763
136	17889.81901
137	17835.19191
138	17790.2336
139	17767.03216
140	17691.40637
141	17643.36188
142	17573.49585
143	17531.71016
144	17488.19236
145	17442.11392
146	17411.14427
147	17370.59369
148	17323.53529
149	17273.50991
150	17226.06798
151	17178.66317
152	17117.58062
153	17084.46293
154	17045.82114
155	17003.73928
156	16931.97823
157	16898.78885
158	16868.87659
159	16824.18584
160	16791.77097
161	16753.69347
162	16714.38174
163	16684.159
164	16648.51901
165	16616.75991
166	16573.87134
167	16539.07231
168	16498.84709
169	16465.21011
170	16433.73254
171	16394.91138
172	16341.30827
173	16299.09589
174	16249.93994
175	16215.93078
176	16180.57845
177	16150.71929
178	16125.32098
179	16098.77691
180	16077.95952
181	16035.90318
182	15997.0428
183	15961.69375
184	15929.31952
185	15878.77599
186	15852.42084
187	15811.96371
188	15784.21681
189	15739.59272
190	15701.73686
191	15661.57645
192	15614.30819
193	15573.684
194	15541.6457
195	15504.56551
196	15468.99573
197	15444.04694
198	15399.65029
199	15364.80695
200	15330.87391
201	15298.81607
202	15263.15039
203	15243.49423
204	15205.5009
205	15173.15293
206	15152.25979
207	15136.72304
208	15118.77585
209	15097.38609
210	15055.63014
211	15029.38678
212	14982.07309
213	14959.72108
214	14916.77971
215	14888.89943
216	14869.46678
217	14826.81552
218	14794.84042
219	14759.82973
220	14737.27935
221	14710.42243
222	14682.48459
223	14642.60791
224	14613.77998
225	14587.72325
226	14546.88178
227	14524.94061
228	14500.76157
229	14461.42923
230	14424.43308
231	14385.89043
232	14357.10454
233	14319.80203
234	14288.12304
235	14264.06026
236	14228.34724
237	14194.49205
238	14171.58909
239	14129.4609
240	14111.69796
241	14090.59526
242	14068.67476
243	14041.68424
244	14010.47509
245	13972.3233
246	13953.44341
247	13934.5351
248	13910.44306
249	13882.22303
250	13857.5559
251	13824.80069
252	13784.35242
253	13758.00095
254	13733.99507
255	13703.55702
256	13679.47623
257	13649.04063
258	13635.08444
259	13604.61217
260	13577.27178
261	13536.88856
262	13531.6676
263	13496.92911
264	13454.77199
265	13429.50431
266	13400.24851
267	13369.06401
268	13341.21898
269	13334.1604
270	13329.37387
271	13299.17123
272	13280.92696
273	13245.78568
274	13242.35448
275	13213.48963
276	13197.92718
277	13170.73214
278	13154.86083
279	13125.43199
280	13095.18807
281	13090.98801
282	13074.01424
283	13045.11958
284	13021.15805
285	12995.80361
286	12968.58713
287	12945.63551
288	12930.43199
289	12906.37292
290	12877.09841
291	12862.27416
292	12835.18885
293	12820.47358
294	12806.13822
295	12782.89689
296	12759.8613
297	12736.16502
298	12708.55694
299	12692.22762
300	12669.1955
301	12651.02594
302	12626.7553
303	12590.9681
304	12574.24883
305	12556.38418
306	12528.57819
307	12525.19311
308	12503.83498
309	12483.29547
310	12457.14303
311	12440.50221
312	12415.04026
313	12388.13523
314	12376.02505
315	12350.21332
316	12326.15366
317	12306.22972
318	12278.3707
319	12256.58631
320	12228.31508
321	12205.81832
322	12178.53164
323	12153.70474
324	12130.58325
325	12109.05469
326	12079.5063
327	12051.49015
328	12031.68662
329	12000.91568
330	11979.40525
331	11962.19929
332	11931.37021
333	11910.85444
334	11892.65467
335	11868.43319
336	11850.0285
337	11823.48753
338	11802.96478
339	11782.11957
340	11759.09748
341	11756.57991
342	11735.18843
343	11719.91744
344	11701.56115
345	11666.62062
346	11642.61523
347	11628.70853
348	11599.64958
349	11573.47131
350	11555.85478
351	11536.64855
352	11503.98136
353	11480.23889
354	11457.24625
355	11431.49387
356	11420.51708
357	11399.18076
358	11375.94478
359	11354.06653
360	11334.73879
361	11314.25367
362	11298.32003
363	11295.92071
364	11278.65744
365	11256.81632
366	11236.69744
367	11234.13198
368	11214.94151
369	11198.96516
370	11180.58373
371	11161.67931
372	11136.08126
373	11125.08386
374	11122.79722
375	11100.91849
376	11086.26485
377	11069.6083
378	11044.83594
379	11028.24928
380	11012.57866
381	10989.67436
382	10972.07158
383	10963.18955
