iter	Passed	Remaining
0	61	61887
1	64	32122
2	66	22133
3	69	17275
4	71	14250
5	73	12176
6	76	10789
7	78	9712
8	80	8869
9	82	8197
10	84	7629
11	86	7127
12	88	6710
13	90	6349
14	91	6034
15	93	5761
16	94	5460
17	96	5254
18	98	5083
19	100	4919
20	102	4771
21	104	4634
22	105	4496
23	107	4373
24	109	4263
25	111	4161
26	112	4063
27	114	3974
28	116	3893
29	117	3811
30	119	3740
31	121	3670
32	123	3604
33	124	3543
34	126	3483
35	128	3428
36	129	3379
37	131	3330
38	133	3286
39	134	3238
40	137	3205
41	138	3164
42	140	3129
43	142	3094
44	144	3060
45	145	3022
46	147	2990
47	149	2958
48	151	2943
49	153	2914
50	155	2888
51	156	2861
52	158	2835
53	160	2814
54	162	2789
55	164	2765
56	165	2742
57	167	2724
58	169	2700
59	171	2680
60	172	2661
61	174	2642
62	176	2626
63	178	2607
64	179	2588
65	181	2571
66	183	2553
67	185	2536
68	186	2520
69	188	2502
70	190	2486
71	191	2472
72	193	2459
73	195	2443
74	197	2433
75	199	2419
76	200	2409
77	202	2395
78	204	2383
79	206	2371
80	207	2358
81	209	2346
82	211	2334
83	212	2322
84	214	2311
85	217	2307
86	218	2296
87	221	2291
88	222	2280
89	224	2269
90	226	2258
91	227	2248
92	229	2238
93	231	2228
94	232	2218
95	234	2208
96	236	2199
97	237	2190
98	239	2180
99	241	2171
100	243	2169
101	245	2161
102	246	2150
103	248	2141
104	250	2133
105	252	2125
106	253	2115
107	255	2108
108	257	2100
109	258	2093
110	260	2087
111	262	2080
112	264	2072
113	265	2065
114	267	2058
115	269	2050
116	270	2042
117	272	2035
118	274	2032
119	276	2027
120	278	2020
121	279	2014
122	281	2008
123	283	2000
124	284	1993
125	286	1987
126	288	1980
127	289	1974
128	291	1968
129	293	1963
130	295	1957
131	296	1951
132	298	1945
133	300	1940
134	301	1934
135	303	1928
136	305	1923
137	306	1917
138	308	1912
139	310	1907
140	312	1902
141	313	1895
142	315	1890
143	317	1885
144	318	1879
145	320	1874
146	322	1869
147	323	1864
148	325	1860
149	327	1857
150	329	1852
151	331	1847
152	332	1843
153	334	1838
154	336	1834
155	338	1830
156	340	1825
157	341	1822
158	343	1817
159	345	1813
160	347	1809
161	348	1804
162	350	1799
163	352	1795
164	353	1790
165	355	1786
166	357	1782
167	358	1776
168	360	1772
169	362	1768
170	363	1764
171	365	1759
172	367	1755
173	368	1751
174	370	1747
175	372	1743
176	374	1739
177	376	1736
178	377	1731
179	379	1727
180	381	1724
181	382	1720
182	384	1716
183	386	1712
184	387	1708
185	389	1704
186	391	1701
187	393	1697
188	394	1694
189	396	1690
190	398	1686
191	399	1683
192	401	1679
193	403	1676
194	405	1672
195	406	1668
196	408	1665
197	410	1662
198	411	1658
199	413	1654
200	415	1650
201	416	1647
202	418	1644
203	420	1640
204	422	1636
205	423	1633
206	425	1630
207	427	1627
208	428	1623
209	430	1620
210	433	1619
211	434	1616
212	436	1612
213	438	1609
214	439	1605
215	441	1602
216	443	1599
217	445	1596
218	446	1593
219	448	1590
220	450	1586
221	451	1582
222	453	1580
223	455	1576
224	456	1573
225	458	1569
226	459	1566
227	461	1563
228	463	1559
229	465	1556
230	466	1553
231	468	1550
232	470	1547
233	471	1544
234	473	1540
235	475	1538
236	476	1535
237	478	1532
238	480	1529
239	482	1526
240	483	1523
241	485	1521
242	487	1517
243	488	1514
244	490	1512
245	492	1509
246	494	1506
247	495	1503
248	497	1501
249	499	1497
250	500	1494
251	502	1491
252	504	1488
253	505	1485
254	507	1483
255	509	1480
256	511	1477
257	513	1476
258	514	1473
259	516	1471
260	519	1471
261	521	1468
262	523	1466
263	525	1465
264	527	1463
265	530	1463
266	532	1462
267	534	1459
268	536	1457
269	537	1454
270	539	1451
271	541	1448
272	542	1445
273	544	1442
274	546	1439
275	547	1437
276	549	1434
277	551	1431
278	552	1428
279	554	1426
280	556	1423
281	558	1420
282	559	1418
283	561	1415
284	563	1412
285	564	1410
286	566	1408
287	568	1405
288	570	1403
289	572	1400
290	573	1398
291	575	1395
292	577	1393
293	579	1390
294	580	1388
295	582	1385
296	584	1382
297	585	1380
298	587	1377
299	589	1375
300	591	1373
301	593	1371
302	595	1369
303	597	1367
304	599	1365
305	601	1363
306	603	1361
307	605	1359
308	606	1357
309	608	1355
310	610	1352
311	612	1349
312	613	1347
313	615	1345
314	617	1342
315	618	1339
316	620	1337
317	622	1334
318	624	1332
319	625	1330
320	627	1327
321	629	1324
322	630	1322
323	632	1320
324	634	1317
325	635	1314
326	637	1312
327	639	1310
328	641	1308
329	643	1305
330	644	1303
331	646	1301
332	648	1298
333	650	1296
334	651	1293
335	653	1291
336	655	1288
337	656	1286
338	658	1283
339	660	1281
340	662	1279
341	663	1277
342	665	1274
343	667	1272
344	669	1270
345	671	1268
346	672	1266
347	674	1264
348	677	1262
349	678	1260
350	680	1257
351	681	1255
352	683	1253
353	685	1250
354	687	1248
355	688	1245
356	690	1243
357	692	1241
358	693	1238
359	695	1236
360	697	1234
361	699	1232
362	700	1229
363	702	1227
364	704	1225
365	705	1222
366	707	1220
367	709	1217
368	710	1215
369	712	1213
370	714	1211
371	715	1208
372	717	1206
373	719	1204
374	721	1201
375	722	1199
376	724	1197
377	726	1194
378	727	1192
379	729	1190
380	731	1188
381	732	1185
382	734	1183
383	736	1181
384	738	1179
385	739	1176
386	741	1174
387	743	1172
388	744	1170
389	746	1167
390	748	1165
391	750	1163
392	751	1161
393	753	1159
394	755	1156
395	757	1154
396	758	1152
397	760	1150
398	762	1148
399	764	1146
400	765	1143
401	767	1141
402	769	1139
403	770	1137
404	772	1135
405	774	1132
406	776	1130
407	778	1128
408	779	1126
409	781	1124
410	783	1122
411	784	1120
412	786	1117
413	788	1115
414	790	1113
415	791	1111
416	793	1109
417	795	1107
418	796	1105
419	798	1102
420	800	1100
421	802	1098
422	803	1096
423	805	1094
424	807	1092
425	808	1090
426	810	1088
427	812	1085
428	814	1083
429	815	1081
430	817	1079
431	819	1077
432	821	1075
433	822	1072
434	824	1070
435	826	1068
436	827	1066
437	829	1064
438	831	1062
439	833	1060
440	834	1058
441	836	1055
442	837	1053
443	840	1051
444	841	1049
445	843	1047
446	845	1045
447	847	1043
448	848	1041
449	850	1039
450	851	1037
451	853	1034
452	855	1032
453	857	1031
454	859	1029
455	860	1027
456	862	1025
457	864	1022
458	866	1020
459	867	1018
460	869	1016
461	871	1014
462	872	1012
463	874	1010
464	876	1008
465	877	1005
466	879	1004
467	881	1001
468	883	999
469	884	997
470	886	995
471	888	993
472	889	991
473	891	989
474	893	987
475	894	985
476	896	983
477	898	981
478	900	979
479	901	976
480	903	974
481	905	972
482	906	970
483	908	968
484	910	966
485	912	964
486	914	962
487	915	960
488	917	959
489	919	956
490	921	954
491	923	953
492	925	951
493	926	949
494	928	947
495	930	945
496	932	943
497	934	941
498	935	939
499	937	937
500	939	935
501	940	933
502	942	931
503	944	929
504	946	927
505	947	925
506	949	923
507	951	921
508	953	919
509	955	917
510	956	915
511	958	913
512	960	911
513	962	909
514	964	908
515	965	906
516	967	903
517	969	901
518	971	899
519	972	897
520	974	895
521	975	893
522	977	891
523	979	889
524	980	887
525	982	885
526	984	884
527	986	882
528	988	880
529	989	877
530	991	875
531	993	873
532	995	871
533	996	869
534	998	867
535	1000	865
536	1001	863
537	1003	862
538	1005	859
539	1007	858
540	1008	855
541	1010	854
542	1012	851
543	1013	849
544	1015	847
545	1017	845
546	1019	844
547	1020	842
548	1022	840
549	1024	838
550	1026	836
551	1028	834
552	1029	832
553	1031	830
554	1033	828
555	1035	827
556	1037	825
557	1039	823
558	1041	821
559	1043	819
560	1044	817
561	1046	815
562	1048	813
563	1049	811
564	1051	809
565	1053	808
566	1055	806
567	1057	804
568	1059	802
569	1061	800
570	1062	798
571	1064	796
572	1066	794
573	1068	792
574	1070	790
575	1071	788
576	1073	786
577	1076	785
578	1078	784
579	1080	782
580	1082	780
581	1084	779
582	1086	777
583	1088	775
584	1090	773
585	1093	772
586	1095	770
587	1097	769
588	1100	767
589	1102	766
590	1104	764
591	1106	762
592	1108	760
593	1110	758
594	1111	756
595	1113	754
596	1115	752
597	1117	750
598	1118	748
599	1120	747
600	1122	745
601	1123	743
602	1126	741
603	1128	739
604	1129	737
605	1131	735
606	1133	733
607	1134	731
608	1136	729
609	1138	728
610	1140	726
611	1142	724
612	1143	722
613	1145	720
614	1147	718
615	1149	716
616	1151	714
617	1152	712
618	1154	710
619	1156	708
620	1158	706
621	1159	704
622	1161	703
623	1163	701
624	1165	699
625	1167	697
626	1168	695
627	1170	693
628	1172	691
629	1174	689
630	1175	687
631	1177	685
632	1180	684
633	1182	682
634	1183	680
635	1185	678
636	1194	680
637	1196	678
638	1198	677
639	1201	675
640	1203	673
641	1204	671
642	1206	670
643	1208	668
644	1211	666
645	1212	664
646	1214	662
647	1216	660
648	1218	658
649	1219	656
650	1221	655
651	1223	653
652	1225	651
653	1227	649
654	1229	647
655	1231	645
656	1233	644
657	1235	642
658	1237	640
659	1238	638
660	1240	636
661	1242	634
662	1244	632
663	1245	630
664	1247	628
665	1249	626
666	1251	624
667	1253	622
668	1255	620
669	1257	619
670	1259	617
671	1260	615
672	1262	613
673	1264	611
674	1265	609
675	1267	607
676	1269	605
677	1272	604
678	1273	602
679	1275	600
680	1277	598
681	1279	596
682	1281	594
683	1282	592
684	1284	590
685	1286	588
686	1287	586
687	1289	584
688	1291	582
689	1293	580
690	1294	578
691	1296	577
692	1298	575
693	1299	573
694	1301	571
695	1303	569
696	1304	567
697	1306	565
698	1308	563
699	1310	561
700	1311	559
701	1313	557
702	1315	555
703	1316	553
704	1318	551
705	1320	549
706	1321	547
707	1323	545
708	1325	543
709	1326	541
710	1328	540
711	1330	538
712	1331	536
713	1333	534
714	1335	532
715	1336	530
716	1338	528
717	1340	526
718	1342	524
719	1344	522
720	1345	520
721	1347	518
722	1349	516
723	1350	514
724	1352	512
725	1354	511
726	1356	509
727	1358	507
728	1360	505
729	1361	503
730	1363	501
731	1365	499
732	1366	497
733	1368	495
734	1370	494
735	1372	492
736	1373	490
737	1375	488
738	1377	486
739	1380	485
740	1382	483
741	1384	481
742	1385	479
743	1387	477
744	1389	475
745	1391	473
746	1393	471
747	1395	470
748	1397	468
