number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_subsample,state
0,0.19037739738181408,2026-08-30 20:38:59.871337,2026-08-30 20:39:01.521205,0 days 00:00:01.649868,0.8740865852488733,4,100,9.237548773055805,0.01958773168363589,0.6519892428888338,COMPLETE
1,0.14010014299184337,2026-08-30 20:39:01.542030,2026-08-30 20:39:14.606151,0 days 00:00:13.064121,0.8291521637488539,4,500,4.165148428007536,0.011917804362202042,0.8237075135555707,COMPLETE
2,0.13762380629744514,2026-08-30 20:39:14.623376,2026-08-30 20:39:21.149489,0 days 00:00:06.526113,0.7775720519041284,3,400,7.082423870183735,0.029824507545767147,0.7498674365599783,COMPLETE
3,0.13085945537752375,2026-08-30 20:39:21.166850,2026-08-30 20:39:44.140610,0 days 00:00:22.973760,0.6194146219303068,5,700,4.324456992043505,0.021486599384481976,0.7951598301362912,COMPLETE
4,0.13213818674943278,2026-08-30 20:39:44.157394,2026-08-30 20:40:15.749162,0 days 00:00:31.591768,0.8538911149581078,5,800,5.910331600782618,0.020185970782876195,0.9167018530949937,COMPLETE
5,0.1944153675870514,2026-08-30 20:40:15.762892,2026-08-30 20:40:17.109235,0 days 00:00:01.346343,0.6077842315412624,4,100,5.1837658390768135,0.017773289412857808,0.8995900010122087,COMPLETE
6,0.12751995313697778,2026-08-30 20:40:17.122818,2026-08-30 20:40:46.814987,0 days 00:00:29.692169,0.7624026690137684,5,800,3.995730687932438,0.04573799060750909,0.7800480654414534,COMPLETE
7,0.13247810690587206,2026-08-30 20:40:46.831281,2026-08-30 20:41:11.691039,0 days 00:00:24.859758,0.7392228689279049,5,700,5.564051188979413,0.021613883236039362,0.8792774984347296,COMPLETE
8,0.13057010764967994,2026-08-30 20:41:11.704730,2026-08-30 20:41:38.004828,0 days 00:00:26.300098,0.6682576364816919,5,800,5.240742122688885,0.018048930412544562,0.8001621672306917,COMPLETE
9,0.17482786230773578,2026-08-30 20:41:38.018434,2026-08-30 20:41:46.884172,0 days 00:00:08.865738,0.7714203925338519,5,200,5.3801139382868834,0.011209664399067934,0.8127539247367014,COMPLETE
10,0.12777604343671767,2026-08-30 20:41:46.897602,2026-08-30 20:42:05.163737,0 days 00:00:18.266135,0.9811352551113195,3,1000,3.1055801985092573,0.04683430371062033,0.6026122720973983,COMPLETE
11,0.12773023629892685,2026-08-30 20:42:05.177606,2026-08-30 20:42:24.476995,0 days 00:00:19.299389,0.9610463215871194,3,1000,3.0027032583386313,0.04622455262317271,0.9995545479169351,COMPLETE
12,0.1282162945067632,2026-08-30 20:42:24.490452,2026-08-30 20:42:43.753691,0 days 00:00:19.263239,0.9779239219380101,3,1000,3.214132731083331,0.04900698023434548,0.9766849392985603,COMPLETE
13,0.12784672904668398,2026-08-30 20:42:43.768147,2026-08-30 20:43:09.975334,0 days 00:00:26.207187,0.9128664885354687,4,900,3.683708515381955,0.03574382347878177,0.9970253788389436,COMPLETE
14,0.13154033386005867,2026-08-30 20:43:09.988525,2026-08-30 20:43:18.973799,0 days 00:00:08.985274,0.7001337378188489,3,600,3.7225540642299646,0.0371232202086641,0.7044393212404092,COMPLETE
