number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.1362452341117487,2026-08-30 20:34:56.967610,2026-08-30 20:34:58.700559,0 days 00:00:01.732949,0.655067805406948,0.021743996111409123,3,10,200,9.373791185067354,0.9798215313005278,COMPLETE
1,0.1390245452771199,2026-08-30 20:34:58.722645,2026-08-30 20:34:59.840843,0 days 00:00:01.118198,0.6753659507180552,0.0350452038628819,3,6,100,3.871082744618639,0.8869831348227651,COMPLETE
2,0.12534817296261827,2026-08-30 20:34:59.853979,2026-08-30 20:35:05.895569,0 days 00:00:06.041590,0.6603825793402427,0.019626280063009253,3,7,1000,6.856066980238839,0.6616894885885863,COMPLETE
3,0.12543647737005537,2026-08-30 20:35:05.912625,2026-08-30 20:35:12.896673,0 days 00:00:06.984048,0.645596220752674,0.031214106645978557,5,3,800,8.553775665243538,0.9910703764208577,COMPLETE
4,0.1286522629973705,2026-08-30 20:35:12.910878,2026-08-30 20:35:16.942205,0 days 00:00:04.031327,0.8519418167875951,0.020419982717035712,5,6,400,4.405830178042068,0.8327593010335835,COMPLETE
5,0.12824371018020567,2026-08-30 20:35:16.955296,2026-08-30 20:35:26.338937,0 days 00:00:09.383641,0.8921084577639092,0.04206308572399586,5,5,1000,8.961828597295355,0.6338460696622433,COMPLETE
6,0.12750321547059756,2026-08-30 20:35:26.352549,2026-08-30 20:35:34.942697,0 days 00:00:08.590148,0.9858545571876117,0.03749768290250854,4,4,900,4.142215301999971,0.8526327420386941,COMPLETE
7,0.12546153925369002,2026-08-30 20:35:34.968881,2026-08-30 20:35:43.838209,0 days 00:00:08.869328,0.7332398839233096,0.012827335066175028,5,4,1000,3.568771094857942,0.609417835471833,COMPLETE
8,0.14283997545452215,2026-08-30 20:35:43.851727,2026-08-30 20:35:45.683011,0 days 00:00:01.831284,0.9396315430944873,0.016745452863411,3,6,200,8.873331914467606,0.6912775836751224,COMPLETE
9,0.12817774529840115,2026-08-30 20:35:45.696982,2026-08-30 20:35:51.132127,0 days 00:00:05.435145,0.8583217673960548,0.03123548685036798,4,4,700,4.584017064639708,0.9306295579837942,COMPLETE
10,0.12778403029264226,2026-08-30 20:35:51.145083,2026-08-30 20:35:55.992062,0 days 00:00:04.846979,0.7776437513121058,0.010260382234452728,4,1,600,6.583037035370706,0.7696230547238678,COMPLETE
11,0.12565925850738976,2026-08-30 20:35:56.005374,2026-08-30 20:36:01.714974,0 days 00:00:05.709600,0.6029681965792825,0.02589896479966754,4,9,800,7.122643909214649,0.761821215879067,COMPLETE
12,0.12491572755609617,2026-08-30 20:36:01.728183,2026-08-30 20:36:05.617665,0 days 00:00:03.889482,0.6035804244111475,0.04813482610939552,3,1,600,7.491251073514354,0.7528439723497217,COMPLETE
13,0.12566013464327325,2026-08-30 20:36:05.635230,2026-08-30 20:36:09.031055,0 days 00:00:03.395825,0.7284997344424564,0.04924113978870069,3,1,500,6.661416925490797,0.7047483339404015,COMPLETE
14,0.1292630301901921,2026-08-30 20:36:09.044866,2026-08-30 20:36:11.826648,0 days 00:00:02.781782,0.6050007019265603,0.015535721139018861,3,8,400,7.685723131510118,0.6866369558998926,COMPLETE
15,0.1257686083616844,2026-08-30 20:36:11.840729,2026-08-30 20:36:15.724989,0 days 00:00:03.884260,0.7098835845550241,0.02419823216712539,3,2,600,5.549394912731312,0.7659035977739961,COMPLETE
16,0.12810741789521068,2026-08-30 20:36:15.739499,2026-08-30 20:36:20.937181,0 days 00:00:05.197682,0.8000530016747339,0.04954796449334065,3,8,800,5.6918069211877125,0.6529960571859539,COMPLETE
17,0.13267487750560963,2026-08-30 20:36:20.950542,2026-08-30 20:36:24.355652,0 days 00:00:03.405110,0.6809071699766578,0.010483555254850613,4,7,400,7.928342201703864,0.73122052226826,COMPLETE
18,0.12616030081225127,2026-08-30 20:36:24.370058,2026-08-30 20:36:29.985073,0 days 00:00:05.615015,0.6296798289838873,0.018082215671596576,3,10,900,5.468598724891503,0.7968404877131708,COMPLETE
19,0.12683723091456045,2026-08-30 20:36:29.998519,2026-08-30 20:36:34.798078,0 days 00:00:04.799559,0.7886060208419201,0.013638038320043398,4,2,600,9.85774255691268,0.6637961014498837,COMPLETE
20,0.1276991818310642,2026-08-30 20:36:34.812025,2026-08-30 20:36:37.096228,0 days 00:00:02.284203,0.7055913484773434,0.02751137181388422,3,3,300,7.943220270352865,0.6053082698655607,COMPLETE
21,0.12734513480241946,2026-08-30 20:36:37.109894,2026-08-30 20:36:44.097182,0 days 00:00:06.987288,0.6494404248498771,0.03152776441222215,5,2,800,8.418395934588252,0.9928276535266728,COMPLETE
22,0.12657684994234109,2026-08-30 20:36:44.110323,2026-08-30 20:36:50.581892,0 days 00:00:06.471569,0.6376391436601376,0.041580559882065216,4,3,900,7.104867422382632,0.9430246469520177,COMPLETE
23,0.12545612081630167,2026-08-30 20:36:50.596102,2026-08-30 20:36:56.901955,0 days 00:00:06.305853,0.6023605662985159,0.03053152061960812,5,1,700,7.214005361913156,0.8898990559638498,COMPLETE
24,0.12606118582198203,2026-08-30 20:36:56.915397,2026-08-30 20:37:04.244346,0 days 00:00:07.328949,0.6830272721722981,0.04255096234452008,4,3,1000,6.103084744543058,0.7264303299578848,COMPLETE
25,0.12658360927318887,2026-08-30 20:37:04.258114,2026-08-30 20:37:08.965540,0 days 00:00:04.707426,0.7546342231583186,0.02250057530506962,3,5,700,8.494568253064603,0.8191655118038603,COMPLETE
26,0.12604192122845725,2026-08-30 20:37:08.978692,2026-08-30 20:37:16.883033,0 days 00:00:07.904341,0.6427011782153971,0.036240835348800564,5,2,900,7.84072020658074,0.8731048105777115,COMPLETE
27,0.12781439963481595,2026-08-30 20:37:16.896045,2026-08-30 20:37:22.726361,0 days 00:00:05.830316,0.6735466516545395,0.01917473114380641,4,8,800,6.407600472868127,0.927016439013531,COMPLETE
28,0.12474679966165221,2026-08-30 20:37:22.739763,2026-08-30 20:37:26.050179,0 days 00:00:03.310416,0.6266470042981617,0.02829605500670529,3,1,500,9.853030321606184,0.6388397961462416,COMPLETE
29,0.12585365847042537,2026-08-30 20:37:26.066298,2026-08-30 20:37:29.417508,0 days 00:00:03.351210,0.6267579889978913,0.02261114575400243,3,9,500,9.899236745175202,0.6425985070104953,COMPLETE
30,0.12768221076413555,2026-08-30 20:37:29.430574,2026-08-30 20:37:31.698136,0 days 00:00:02.267562,0.7031271387033411,0.02690078986202344,3,1,300,3.074020004527171,0.7265667828983594,COMPLETE
31,0.12479804940420994,2026-08-30 20:37:31.711476,2026-08-30 20:37:35.083861,0 days 00:00:03.372385,0.6610663258431962,0.029821986527428436,3,2,500,9.467468558526342,0.6725488625870756,COMPLETE
32,0.12793731466407626,2026-08-30 20:37:35.096986,2026-08-30 20:37:39.813064,0 days 00:00:04.716078,0.6651918551737758,0.014922724893036591,3,1,500,9.316736667797779,0.6717580871706224,COMPLETE
33,0.14158954295610748,2026-08-30 20:37:39.826945,2026-08-30 20:37:41.050331,0 days 00:00:01.223386,0.6252177591677416,0.03451406455803238,3,2,100,9.45767544622243,0.6359806234264235,COMPLETE
34,0.12597613350304865,2026-08-30 20:37:41.063695,2026-08-30 20:37:44.498873,0 days 00:00:03.435178,0.6591176899785001,0.01990005365482847,3,1,500,9.52386405209943,0.7054975032997028,COMPLETE
35,0.12833516386847726,2026-08-30 20:37:44.512596,2026-08-30 20:37:46.757921,0 days 00:00:02.245325,0.6981849740149408,0.02862957420158941,3,5,300,4.973138656980147,0.6227694496938331,COMPLETE
36,0.1241720568567665,2026-08-30 20:37:46.771449,2026-08-30 20:37:50.677516,0 days 00:00:03.906067,0.6598558896023882,0.03990556845922015,3,2,600,9.189887919333426,0.6735208299455332,COMPLETE
37,0.12505869217044907,2026-08-30 20:37:50.694195,2026-08-30 20:37:54.502059,0 days 00:00:03.807864,0.61619272640235,0.04494628903769319,3,2,600,8.922077293401873,0.7457871370019464,COMPLETE
38,0.12552244081745406,2026-08-30 20:37:54.515684,2026-08-30 20:37:57.260938,0 days 00:00:02.745254,0.6514647086823482,0.03741620211841021,3,3,400,9.967976480662115,0.6736488052148492,COMPLETE
39,0.12596002485295485,2026-08-30 20:37:57.274371,2026-08-30 20:38:01.206928,0 days 00:00:03.932557,0.7330674304967514,0.03350448518409696,3,2,600,9.205016288576665,0.8008606953477903,COMPLETE
40,0.12519952614412075,2026-08-30 20:38:01.220085,2026-08-30 20:38:04.674086,0 days 00:00:03.454001,0.6848185212302954,0.03957931548193575,3,3,500,8.43051419011022,0.7000829093807502,COMPLETE
41,0.12554259075048269,2026-08-30 20:38:04.687795,2026-08-30 20:38:08.539989,0 days 00:00:03.852194,0.617696267033756,0.04557102648936742,3,2,600,9.010118622564827,0.7389353571442937,COMPLETE
42,0.1251569850588031,2026-08-30 20:38:08.553737,2026-08-30 20:38:12.995714,0 days 00:00:04.441977,0.6194036534291628,0.04769465683619221,3,1,700,8.690590258577854,0.787429402429117,COMPLETE
