number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.13414750245796145,2026-08-23 14:00:53.053145,2026-08-23 14:01:00.638838,0 days 00:00:07.585693,0.739135275004112,0.09057339151030357,8,1,800,0.6448780528806296,COMPLETE
1,0.13155404482849714,2026-08-23 14:01:00.647678,2026-08-23 14:01:03.133512,0 days 00:00:02.485834,0.9778842567164772,0.043883694736464425,8,9,200,0.7378806664797658,COMPLETE
2,0.13290322632957854,2026-08-23 14:01:03.139756,2026-08-23 14:01:09.653929,0 days 00:00:06.514173,0.6650468281916554,0.06791340644903548,5,8,900,0.9509243301125292,COMPLETE
3,0.13208459148966706,2026-08-23 14:01:09.659219,2026-08-23 14:01:12.039614,0 days 00:00:02.380395,0.8173372013941131,0.018926677775844638,3,4,400,0.879092490660421,COMPLETE
4,0.1317582667958845,2026-08-23 14:01:12.045031,2026-08-23 14:01:21.754562,0 days 00:00:09.709531,0.6526572883983074,0.018140729872788842,7,7,1000,0.9637358885857967,COMPLETE
5,0.13089281209948897,2026-08-23 14:01:21.760008,2026-08-23 14:01:28.972491,0 days 00:00:07.212483,0.6173838422873411,0.011990628946390794,8,4,600,0.7443945582320726,COMPLETE
6,0.14084639178669925,2026-08-23 14:01:28.979371,2026-08-23 14:01:32.767499,0 days 00:00:03.788128,0.8340355603174665,0.2888347986682598,3,10,700,0.9881554208658766,COMPLETE
7,0.13056487479540416,2026-08-23 14:01:32.773057,2026-08-23 14:01:36.283631,0 days 00:00:03.510574,0.6648638012034326,0.07413993782993679,6,9,400,0.611029780743615,COMPLETE
8,0.12892323501419178,2026-08-23 14:01:36.289850,2026-08-23 14:01:46.089518,0 days 00:00:09.799668,0.9914008849462905,0.025242932065207703,6,1,900,0.6018730508553363,COMPLETE
9,0.135208630695046,2026-08-23 14:01:46.096182,2026-08-23 14:01:48.595522,0 days 00:00:02.499340,0.6486770479443268,0.01350679429200818,5,6,300,0.9903998696240335,COMPLETE
10,0.14499075826005656,2026-08-23 14:01:48.601203,2026-08-23 14:01:50.640826,0 days 00:00:02.039623,0.977556451772882,0.2415670554221309,10,1,100,0.8338319971768341,COMPLETE
